//=======================================================================================================

//========================================================================================================

//=================================
// //Categoria Sword//
//=================================
0
// [01]  [02]   [03]    [04]    [05]     [06]         [07]         [08]       [NOME]                               [09]    [10]        [11]        [12]          [13]         [14]              [15]              [16]       [17]          [18]           [19]        [20]          [21]            [22]   [SM]    [BK]    [ELF]  [MG]    [DL]    [SU]    [RF]
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
10       0      20      2       4        1            1            1          "Dragon Spear"                       92      112         140         35            85           0                 0                 0          170           60             0           0             0               0      1       1       1       1       0       0       0
11       0      20      2       4        1            1            1          "Brova"                              147     190         226         40            90           0                 0                 0          152           25             0           0             0               0      1       1       1       1       0       0       0
//----BY:Zeus Revolutions Team Itens Novos 97D+2.0-----
12       0      20      2       4        1            1            1          "Magmus Peer"                        149     135         236         35            85           0                 0                 380        49            162            0           0             0               0      1       1       1       1       0       0       0
19       0      20      2       4        1            1            0          "Bloodangel Lance"                   150     134         145         40            100          0                 0                 0          70            50             0           0             0               0      1       1       1       1       0       0       0
24       0      20      2       4        1            1            0          "Darkangel Lance"                    160     150         160         40            100          0                 0                 0          70            50             0           0             0               0      1       1       1       1       0       0       0
25       0      20      2       4        1            1            0          "Holyangel Lance"                    180     202         212         40            100          0                 0                 0          65            46             0           0             0               0      1       1       1       1       0       0       0
26       0      20      2       4        1            1            0          "Absolute Lance of the Arch."        100     115         126         40            100          0                 0                 0          65            46             0           0             0               0      1       1       1       1       0       0       0
27       0      20      2       4        1            1            0          "Blessed Divine Arch Lance"          200     173         184         40            100          0                 0                 0          62            43             0           0             0               0      1       1       1       1       0       0       0
28       0      20      2       4        1            1            0          "Soul Lance"                         200     254         264         40            100          0                 0                 0          61            43             0           0             0               0      1       1       1       1       0       0       0
29       0      20      2       4        1            1            0          "Blue Eye Lance"                     220     306         318         40            100          0                 0                 0          35            24             0           0             0               0      1       1       1       1       0       0       0
end

//=================================
// //Categoria Bow//Ring # Pendant
//=================================
4
// [01]  [02]   [03]    [04]    [05]     [06]         [07]         [08]       [NOME]                               [09]    [10]        [11]        [12]          [13]         [14]              [15]              [16]       [17]          [18]           [19]        [20]          [21]            [22]   [SM]    [BK]    [ELF]  [MG]    [DL]    [SU]    [RF]
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
0        1      24      2       3        1            1            1          "Short Bow"                          2       3           5           30            20           0                 0                 0          20            80             0           0             0               0      0       0       1       0       0       0       0
1        1      24      2       4        1            1            0          "Bow"                                8       9           13          30            24           0                 0                 0          30            90             0           0             0               0      0       0       1       0       0       0       0
2        1      24      2       3        1            1            1          "Elven Bow"                          16      17          24          30            28           0                 0                 0          30            90             0           0             0               0      0       0       1       0       0       0       0
3        1      24      2       3        1            1            1          "Battle Bow"                         26      28          37          30            36           0                 0                 0          30            90             0           0             0               0      0       0       1       0       0       0       0
4        1      24      2       4        1            1            1          "Tiger Bow"                          40      42          52          30            43           0                 0                 0          30            100            0           0             0               0      0       0       1       0       0       0       0
5        1      24      2       4        1            1            1          "Silver Bow"                         56      59          71          40            48           0                 0                 0          30            100            0           0             0               0      0       0       1       0       0       0       0
6        1      24      2       4        1            1            0          "Chaos Nature Bow"                   75      88          106         35            68           0                 0                 0          40            150            0           0             0               0      0       0       1       0       0       0       0
7        1      0       1       1        0            0            0          "Bolt"                               0       0           0           0             255          0                 0                 0          0             0              0           0             0               0      0       0       1       0       0       0       0
8        0      24      2       2        1            1            0          "Crossbow"                     	   4       5           8           40            22           0                 0                 0          20            90             0           0             0               0      0       0       1       0       0       0       0
9        0      24      2       2        1            1            1          "Golden Crossbow"                    12      13          19          40            26           0                 0                 0          30            90             0           0             0               0      0       0       1       0       0       0       0
10       0      24      2       2        1            1            1          "Arquebus"                           20      22          30          40            31           0                 0                 0          30            90             0           0             0               0      0       0       1       0       0       0       0
11       0      24      2       3        1            1            1          "Light Crossbow"                     32      35          44          40            40           0                 0                 0          30            90             0           0             0               0      0       0       1       0       0       0       0
12       0      24      2       3        1            1            1          "Serpent Crossbow"                   48      50          61          40            45           0                 0                 0          30            100            0           0             0               0      0       0       1       0       0       0       0
13       0      24      2       3        1            1            1          "Bluewing Crossbow"                  68      68          82          40            56           0                 0                 0          40            110            0           0             0               0      0       0       1       0       0       0       0
14       0      24      2       3        1            1            1          "Aquagold Crossbow"                  72      78          92          30            60           0                 0                 0          50            130            0           0             0               0      0       0       1       0       0       0       0
15       0      0       1       1        0            0            0          "Arrow"                              0       0           0           0             255          0                 0                 0          0             0              0           0             0               0      0       0       1       0       0       0       0
16       0      24      2       4        1            1            1          "Saint Crossbow"                     84      102         127         35            72           0                 0                 0          50            160            0           0             0               0      0       0       1       0       0       0       0
17       1      24      2       4        1            1            1          "Celestial Bow"                      92      127         155         35            76           0                 0                 0          54            198            0           0             0               0      0       0       2       0       0       0       0
18       0      24      2       3        1            1            1          "Divine Crossbow of Archangel"       100     224         246         45            200          0                 0                 0          40            110            0           0             0               0      0       0       1       0       0       0       0
19       0      24      2       3        1            1            1          "Great Reign Crossbow"               100     150         172         40            80           0                 0                 0          61            285            0           0             0               0      0       0       2       0       0       0       0
20       1      24      2       4        1            1            1          "Arrow Viper Bow"                    135     166         190         45            86           0                 0                 0          52            245            0           0             0               0      0       0       2       0       0       0       0
21       1      24      2       4        1            1            1          "Sylph Wind Bow"                     147     177         200         45            93           0                 0                 380        46            210            0           0             0               0      0       0       2       0       0       0       0
22       1      24      2       4        1            1            1          "Albatross Bow"                      110     155         177         45            70           0                 0                 0          60            265            0           0             0               0      0       0       2       0       0       0       0
23       1      24      2       4        1            1            1          "Dark Stinger"                       134     162         184         45            80           0                 0                 380        32            209            0           0             0               0      0       0       2       0       0       0       0
24       1      24      2       4        1            1            1          "Aileen Bow"                         147     170         194         45            88           0                 0                 0          49            226            0           0             0               0      0       0       2       0       0       0       0
//----BY:Zeus Revolutions Team Itens Novos 97D+2.0-----
25       1      24      2       4        1            1            1          "Angelic Bow"                        149     179         202         45            70           0                 0                 380        30            193            0           0             0               0      0       0       1       0       0       0       0
26       0      24      2       4        1            1            1          "Devil Crossbow"                     149     167         218         40            90           0                 0                 380        30            193            0           0             0               0      0       0       1       0       0       0       0
28       1      24      2       4        1            1            0          "Bloodangel Bow"                     150     290         310         45            100          0                 0                 0          31            198            0           0             0               0      0       0       1       0       0       0       0
30       0      24      2       4        1            1            0          "Blessed Divine Arch Crossbow"       200     345         380         45            200          0                 0                 0          40            70             0           0             0               0      0       0       1       0       0       0       0
31       1      24      2       4        1            1            0          "Darkangel Bow"                      160     320         340         45            100          0                 0                 250        31            198            0           0             0               0      0       0       1       0       0       0       0
32       0      0       1       2        1            1            0          "Combat Quiver"                      52      111         137         50            90           0                 0                 0          27            98             0           0             0               0      0       0       1       0       0       0       0
33       0      0       1       2        1            1            0          "Devilwood Quiver"                   149     181         207         55            95           0                 0                 400        29            186            0           0             0               0      0       0       1       0       0       0       0
34       0      0       1       2        1            1            0          "Bloodangel Quiver"                  150     239         266         55            100          0                 0                 400        30            196            0           0             0               0      0       0       1       0       0       0       0
35       0      0       1       2        1            1            0          "Darkangel Quiver"                   160     291         316         55            100          0                 0                 600        30            196            0           0             0               0      0       0       1       0       0       0       0
36       1      24      2       4        1            1            0          "Bow Of Natalino"                    180     375         392         45            100          0                 0                 300        29            183            0           0             0               0      0       0       1       0       0       0       0
37       0      0       1       2        1            1            0          "Holyangel Quiver"                   180     345         369         55            100          0                 0                 800        28            181            0           0             0               0      0       0       1       0       0       0       0
38       1      24      2       4        1            1            0          "Soul Bow"                           200     501         518         45            100          0                 0                 350        27            170            0           0             0               0      0       0       1       0       0       0       0
39       0      0       1       2        1            1            0          "Soul Quiver"                        200     398         422         55            100          0                 0                 900        26            168            0           0             0               0      0       0       1       0       0       0       0
40       1      24      2       4        1            1            0          "Blue Eye Bow"                       220     628         646         45            100          0                 0                 380        14            100            0           0             0               0      0       0       1       0       0       0       0
41       0      0       1       2        1            1            0          "Blue Eye Quiver"                    220     451         475         55            100          0                 0                 1000       14            99             0           0             0               0      0       0       1       0       0       0       0
42       1      24      2       4        1            1            0          "Bow Of Armageddon [RL]"             147     628         646         45            100          0                 0                 380        14            100            0           0             0               0      0       0       2       0       0       0       0
43       1      24      2       4        1            1            0          "Bow Of Steel 2.0"                   147     628         646         45            100          0                 0                 380        14            100            0           0             0               0      0       0       2       0       0       0       0
44       1      24      2       4        1            1            0          "Bow Of Horus"                       147     628         646         45            100          0                 0                 380        14            100            0           0             0               0      0       0       2       0       0       0       0
45       1      24      2       4        1            1            0          "Bow Of Holy"                        147     628         646         45            100          0                 0                 380        14            100            0           0             0               0      0       0       2       0       0       0       0
46       1      24      2       4        1            1            0          "Bow Dark Pirate"                    147     628         646         45            100          0                 0                 380        14            100            0           0             0               0      0       0       2       0       0       0       0
47       1      24      2       4        1            1            0          "Bow Of Zeus 1.0"                    147     628         646         45            100          0                 0                 380        14            100            0           0             0               0      0       0       2       0       0       0       0
48       1      24      2       4        1            1            0          "Bow Blood Vampire"                  147     628         646         45            100          0                 0                 380        14            100            0           0             0               0      0       0       2       0       0       0       0
49       1      24      2       4        1            1            0          "Bow Fire King 2.0"                  147     628         646         45            100          0                 0                 380        14            100            0           0             0               0      0       0       2       0       0       0       0
50       1      24      2       4        1            1            0          "Bow Of Saron"                       147     628         646         45            100          0                 0                 380        14            100            0           0             0               0      0       0       2       0       0       0       0
51	 10	0	1	1	 1	      1	           0	      "Ring Of Green V2"		   30	   100	       0	   60	         220	      1	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
52	 9	0	1	1	 1	      1	           0	      "Pendant Of Green V2"		   34	   100	       0	   60	         220	      0	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
53       1      24      2       4        1            1            0          "Bow Green V2"                       220     628         646         45            100          0                 0                 380        14            100            0           0             0               0      0       0       2       0       0       0       0
54	 10	0	1	1	 1	      1	           0	      "Ring Of War [RL]"		   30	   100	       0	   60	         220	      1	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
55	 9	0	1	1	 1	      1	           0	      "Pendant Of War [RL]"		   34	   100	       0	   60	         220	      0	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
56       1      24      2       4        1            1            0          "Bow Fire Green"                     147     628         646         45            100          0                 0                 380        14            100            0           0             0               0      0       0       2       0       0       0       0
57       1      24      2       4        1            1            0          "Bow Light Hawk"                     147     628         646         45            100          0                 0                 380        14            100            0           0             0               0      0       0       2       0       0       0       0
58       1      24      2       4        1            1            0          "Bow Of BloodRed-2022"               144     628         646         45            100          0                 0                 380        14            100            0           0             0               0      0       0       2       0       0       0       0
59       1      24      2       4        1            1            0          "Bow Blue White"                     144     628         646         45            100          0                 0                 380        14            100            0           0             0               0      0       0       2       0       0       0       0
60       1      24      2       4        1            1            0          "Bow Of Black Gold"                  147     628         646         45            100          0                 0                 380        14            100            0           0             0               0      0       0       2       0       0       0       0
61       1      24      2       4        1            1            0          "Bow Red Fire"                       144     628         646         45            100          0                 0                 380        14            100            0           0             0               0      0       0       2       0       0       0       0
62       1      24      2       4        1            1            0          "Bow Ligh Blue"                      144     628         646         45            100          0                 0                 380        14            100            0           0             0               0      0       0       2       0       0       0       0
63       1      24      2       4        1            1            0          "Bow Of Rabbit Lunar [RL]"           144     628         646         45            100          0                 0                 380        14            100            0           0             0               0      0       0       2       0       0       0       0
64       1      24      2       4        1            1            0          "Bow Of War 2.0 [RL]"                144     628         646         45            100          0                 0                 380        14            100            0           0             0               0      0       0       2       0       0       0       0
65       1      24      2       4        1            1            0          "Bow Of Abaddon"                     144     628         646         45            100          0                 0                 380        14            100            0           0             0               0      0       0       2       0       0       0       0
66       1      24      2       4        1            1            0          "Bow Of Marinheiro"                  144     628         646         45            100          0                 0                 380        14            100            0           0             0               0      0       0       2       0       0       0       0
67       1      24      2       4        1            1            0          "Bow Of Holy V2"                     144     628         646         45            100          0                 0                 380        14            100            0           0             0               0      0       0       2       0       0       0       0
72	 10	0	1	1	 1	      1	           0	      "Ring Of Armageddon [RL]"	           30	   100	       0	   60	         220	      1	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
73	 9	0	1	1	 1	      1	           0	      "Pendant Of Armageddon [RL]"	   34	   100	       0	   60	         220	      0	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
74	 10	0	1	1	 1	      1	           0	      "Ring Of Apocalipse 2.0"		   30	   100	       0	   60	         220	      1	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
75	 9	0	1	1	 1	      1	           0	      "Pendant Of Apocalipse 2.0"	   34	   100	       0	   60	         220	      0	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
76	 10	0	1	1	 1	      1	           0	      "Ring Of Natalino"		   30	   100	       0	   60	         220	      1	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
77	 9	0	1	1	 1	      1	           0	      "Pendant Of Natalino"	           34	   100	       0	   60	         220	      0	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
78	 10	0	1	1	 1	      1	           0	      "Ring Of Gold [RL]"		   30	   100	       0	   60	         220	      1	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
79	 9	0	1	1	 1	      1	           0	      "Pendant Of Gold [RL]"	           34	   100	       0	   60	         220	      0	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
80	 10	0	1	1	 1	      1	           0	      "Ring Of Steel 2.0"		   30	   100	       0	   60	         220	      1	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
81	 9	0	1	1	 1	      1	           0	      "Pendant Of Steel 2.0"	           34	   100	       0	   60	         220	      0	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
82	 10	0	1	1	 1	      1	           0	      "Ring Of Horus"		           30	   100	       0	   60	         220	      1	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
83	 9	0	1	1	 1	      1	           0	      "Pendant Of Horus"	           34	   100	       0	   60	         220	      0	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
84	 10	0	1	1	 1	      1	           0	      "Ring Of Zeus"		           30	   100	       0	   60	         220	      1	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
85	 9	0	1	1	 1	      1	           0	      "Pendant Of Zeus"	                   34	   100	       0	   60	         220	      0	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
86	 10	0	1	1	 1	      1	           0	      "Ring Of Holy"		           30	   100	       0	   60	         220	      1	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
87	 9	0	1	1	 1	      1	           0	      "Pendant Of Holy"	                   34	   100	       0	   60	         220	      0	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
88	 10	0	1	1	 1	      1	           0	      "Ring Dark Pirate"		   30	   100	       0	   60	         220	      1	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
89	 9	0	1	1	 1	      1	           0	      "Pendant Dark Pirate"	           34	   100	       0	   60	         220	      0	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
90	 10	0	1	1	 1	      1	           0	      "Ring Of New 2022"		   30	   100	       0	   60	         220	      1	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
91	 9	0	1	1	 1	      1	           0	      "Pendant Of New 2022"	           34	   100	       0	   60	         220	      0	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
92	 10	0	1	1	 1	      1	           0	      "Ring Fire Green"		           30	   100	       0	   60	         220	      1	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
93	 9	0	1	1	 1	      1	           0	      "Pendant Fire Green"	           34	   100	       0	   60	         220	      0	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
94	 10	0	1	1	 1	      1	           0	      "Ring Of Fantasy"		           30	   100	       0	   60	         220	      1	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
95	 9	0	1	1	 1	      1	           0	      "Pendant Of Fantasy"	           34	   100	       0	   60	         220	      0	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
96	 10	0	1	1	 1	      1	           0	      "Ring Light Hawk"		           30	   100	       0	   60	         220	      1	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
97	 9	0	1	1	 1	      1	           0	      "Pendant Light Hawk"	           34	   100	       0	   60	         220	      0	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
98	 10	0	1	1	 1	      1	           0	      "Ring Of BloodRed-2022"              30	   100	       0	   60	         220	      1	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
99	 9	0	1	1	 1	      1	           0	      "Pendant Of BloodRed-2022"           34	   100	       0	   60	         220	      0	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
100	 10	0	1	1	 1	      1	           0	      "Ring Of Blue White"		   30	   100	       0	   60	         220	      1	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
101	 9	0	1	1	 1	      1	           0	      "Pendant Of Blue White"	           34	   100	       0	   60	         220	      0	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
102	 10	0	1	1	 1	      1	           0	      "Ring Of Rabbit Lunar [RL]"	   30	   100	       0	   60	         220	      1	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
103	 9	0	1	1	 1	      1	           0	      "Pendant Of Rabbit Lunar [RL]"	   34	   100	       0	   60	         220	      0	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
104	 10	0	1	1	 1	      1	           0	      "Ring Of Abaddon"	                   30	   100	       0	   60	         220	      1	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
105	 9	0	1	1	 1	      1	           0	      "Pendant Of Abaddon"	           34	   100	       0	   60	         220	      0	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
106	 10	0	1	1	 1	      1	           0	      "Ring Of Marinheiro"	           30	   100	       0	   60	         220	      1	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
107	 9	0	1	1	 1	      1	           0	      "Pendant Of Marinheiro"	           34	   100	       0	   60	         220	      0	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
108	 10	0	1	1	 1	      1	           0	      "Ring Of Holy v2"	                   30	   100	       0	   60	         220	      1	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
109	 9	0	1	1	 1	      1	           0	      "Pendant Of Holy v2"	           34	   100	       0	   60	         220	      0	                0	          0	     0	           0	          0	      2	            0	            0	   1	   1	   1	   1	   1	   0	   0
end

//=================================
// //Categoria Staff//
//=================================
5
// [01]  [02]   [03]    [04]    [05]     [06]         [07]         [08]       [NOME]                               [09]    [10]        [11]        [12]          [13]         [14]              [15]              [16]       [17]          [18]           [19]        [20]          [21]            [22]   [SM]    [BK]    [ELF]  [MG]    [DL]    [SU]    [RF]
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
0        0      0       1       3        1            1            1          "Skull Staff"                        6       3           4           20            0            20                6                 0          40            0              0           0             0               0      1       0       0       1       0       1       0
1        0      0       2       3        1            1            1          "Angelic Staff"                      18      10          12          25            0            38                20                0          50            0              0           0             0               0      1       0       0       1       0       0       0
2        0      0       2       3        1            1            1          "Serpent Staff"                      30      17          18          25            0            50                34                0          50            0              0           0             0               0      1       0       0       1       0       0       0
3        0      0       2       4        1            1            1          "Thunder Staff"                      42      23          25          25            0            60                46                0          40            10             0           0             0               0      1       0       0       1       0       0       0
4        0      0       2       4        1            1            1          "Gorgon Staff"                       52      29          32          25            0            65                58                0          50            0              0           0             0               0      1       0       0       1       0       0       0
5        0      0       1       4        1            1            1          "Legendary Staff"                    59      29          31          25            0            66                59                0          50            0              0           0             0               0      1       0       0       1       0       0       0
6        0      0       1       4        1            1            1          "Staff Of Resurrection"              70      35          39          25            0            70                70                0          60            10             0           0             0               0      1       0       0       1       0       0       0
7        0      0       2       4        1            1            0          "Chaos Lighting Staff"               75      47          48          30            0            70                94                0          60            10             0           0             0               0      1       0       0       1       0       0       0
8        0      0       2       4        1            1            1          "Staff Of Destruction"               90      50          54          30            0            85                101               0          60            10             0           0             0               0      1       0       0       1       0       0       0
9        0      0       1       4        1            1            1          "Dragon Soul Staff"                  100     46          48          30            0            91                92                0          52            16             0           0             0               0      1       0       0       1       0       1       0
10       0      0       1       4        1            1            1          "Divine Staff of Archangel"          104     153         165         30            0            182               156               0          36            4              0           0             0               0      1       0       0       1       0       0       0
11       0      0       1       4        1            1            1          "Staff Of Kundun"                    140     55          61          30            0            95                110               0          45            16             0           0             0               0      1       0       0       1       0       1       0
12       0      0       1       4        1            1            1          "Grand Viper Staff"                  147     66          74          30            0            100               130               380        39            13             0           0             0               0      1       0       0       1       0       1       0
13       0      0       1       4        1            1            1          "Platina Staff"                      110     51          53          30            0            78                120               0          50            16             0           0             0               0      1       0       0       1       0       1       0
14       0      0       1       4        1            1            1          "Mystery Stick"                      28      17          18          25            0            50                34                0          34            14             0           0             0               0      1       0       0       1       0       1       0
15       0      0       1       4        1            1            1          "Violent Wind Stick"                 42      23          25          25            0            60                46                0          33            17             0           0             0               0      1       0       0       1       0       1       0
16       0      0       1       4        1            1            1          "Red Wing Stick"                     59      29          31          25            0            65                59                0          36            14             0           0             0               0      1       0       0       1       0       1       0
17       0      0       1       4        1            1            1          "Ancient Stick"                      78      38          40          25            0            81                76                0          50            19             0           0             0               0      1       0       0       1       0       1       0
30       0      0       1       4        1            1            1          "Deadly Staff"                       138     57          59          30            0            91                126               380        47            18             0           0             0               0      1       0       0       1       0       1       0
31       0      0       1       4        1            1            1          "Inberial Staff"                     137     57          61          30            0            182               124               380        48            14             0           0             0               0      1       0       0       1       0       1       0
33       0      0       1       4        1            1            1          "Chromatic Staff"                    147     55          57          30            0            78                124               0          50            12             0           0             0               0      1       0       0       1       0       1       0
34       0      0       1       4        1            1            1          "Raven Stick"                        147     70          78          30            0            98                130               0          50            14             0           0             0               0      1       0       0       1       0       1       0
